situation,emotion,source,pleasantness,unpleasantness,attention,effort,self_responsibility,other_responsibility,control,certainty,goal_relevance,urgency,self_control,other_control,responsibility,circumstance
A child asked for my help with a difficult situation (at work),trust,envent,3.0,3.0,5.0,5.0,3.0,4.0,,,4.0,5.0,4.0,4.0,,
a child at the educational establishment I worked at shoved me.,anger,envent,1.0,5.0,5.0,5.0,2.0,5.0,,,1.0,5.0,1.0,5.0,,
A child at the residential educational establishment I used to work at was having an intense period where she was self-harming a lot. It was very emotionally draining on the staff and extremely upsetting to work with such a distressed child who had no home to go to.,sadness,envent,1.0,5.0,5.0,4.0,1.0,5.0,,,2.0,5.0,1.0,5.0,,
a child called me a name behind my back after i had told him off due to his behaviour.,anger,envent,1.0,5.0,5.0,5.0,2.0,5.0,,,3.0,5.0,1.0,5.0,,
A child kicked my child and the parent laughed,disgust,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,4.0,5.0,3.0,5.0,,
A child that I was looking after was refusing to get off the bathroom floor and she needed to go to bed. Whenever I intervened she pushed me away,anger,envent,1.0,4.0,4.0,5.0,3.0,5.0,,,4.0,2.0,4.0,5.0,,
a child threw up in my classroom,disgust,envent,1.0,5.0,4.0,2.0,1.0,2.0,,,2.0,5.0,3.0,4.0,,
a child was sent to my childrens school with covid,disgust,envent,1.0,5.0,4.0,5.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
A classmate was talking about porn in class.,disgust,envent,1.0,5.0,2.0,4.0,1.0,5.0,,,3.0,1.0,1.0,5.0,,
A client never showed up for a work meeting after a 4 hour drive,anger,envent,1.0,4.0,4.0,3.0,1.0,5.0,,,4.0,1.0,1.0,5.0,,
"a client of mine paid me upfront for a project which i never ask clients to do that, but he did it and i had a big massive ... that made my day.",trust,envent,5.0,1.0,5.0,3.0,3.0,5.0,,,3.0,2.0,5.0,2.0,,
A close colleague was leaving to work elsewhere.,sadness,envent,2.0,3.0,3.0,2.0,1.0,4.0,,,4.0,3.0,1.0,5.0,,
a close friend at work got a promotion over me,surprise,envent,1.0,4.0,4.0,2.0,2.0,5.0,,,4.0,4.0,2.0,5.0,,
a close friend of mine allowed me to practice for my upcoming motorcycle exam by riding his motorcycle and getting pointers from him.,trust,envent,5.0,1.0,5.0,2.0,4.0,5.0,,,5.0,4.0,4.0,5.0,,
a close friend of mine told me his girlfriend abused him and cheated on him throughout his relationship.,disgust,envent,1.0,4.0,4.0,4.0,1.0,5.0,,,1.0,5.0,1.0,3.0,,
A close friend told me she was pregnant after years of trying,surprise,envent,4.0,1.0,1.0,1.0,1.0,4.0,,,3.0,5.0,1.0,4.0,,
a close relative announced that they were moving house to a long distance away,surprise,envent,1.0,5.0,4.0,4.0,1.0,5.0,,,5.0,3.0,1.0,5.0,,
a co-worker became carried away talking about their family situation. I was smiling and nodding but they were being quite self-absorbed and I couldn't relate to most of what they were saying. It wasn't a conversation; I was just being talked at.,boredom,envent,1.0,4.0,4.0,2.0,2.0,5.0,,,1.0,3.0,2.0,5.0,,
a co-worker showed me a picture of someone popping a pimple.,disgust,envent,1.0,5.0,2.0,2.0,1.0,5.0,,,1.0,3.0,2.0,4.0,,
"A co-worker/friend who was very kind to me quit her job to go into a different career. She was the person I chatted with and got along with the best at my employer. Several good co-workers had left over the course of a couple of years and her leaving hit me the hardest, like the straw that broke the camels back. It was very sudden, it was announced it was her last day and then she was gone.",sadness,envent,1.0,5.0,5.0,3.0,1.0,4.0,,,2.0,5.0,1.0,5.0,,
"a colleague accused me of jeopardizing his life when I did no such thing, nor would any reasonable person think so (I had allowed a student who had had covid, but who was no longer sick or contagious, and who had been cleared by Public Health, to attend class.)",anger,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,1.0,5.0,2.0,5.0,,
A colleague acted out of character,surprise,envent,3.0,3.0,5.0,2.0,1.0,5.0,,,2.0,5.0,3.0,3.0,,
"a colleague did something I considered unethical, making out an opportunity was open to competition when it had already been taken",anger,envent,1.0,5.0,4.0,2.0,2.0,4.0,,,3.0,3.0,2.0,5.0,,
a colleague entered a new situation at work and was annoyed and moaning rather than coming to me first to ask questions about the situation they had assumed the worst.,anger,envent,2.0,4.0,3.0,3.0,2.0,4.0,,,1.0,4.0,4.0,4.0,,
a colleague helped me with an assignment when I was swamped,trust,envent,5.0,1.0,5.0,4.0,4.0,4.0,,,3.0,4.0,5.0,5.0,,
A colleague in another team got a promotion,no-emotion,envent,1.0,1.0,2.0,1.0,1.0,4.0,,,1.0,2.0,1.0,3.0,,
"a colleague of mine expressed unpredictable, stupid racist views.",disgust,envent,1.0,5.0,5.0,4.0,1.0,1.0,,,4.0,5.0,2.0,4.0,,
a colleague took credit for my hard work,anger,envent,1.0,5.0,5.0,4.0,1.0,5.0,,,2.0,2.0,1.0,5.0,,
A colleague was always off work.,anger,envent,2.0,4.0,3.0,2.0,1.0,5.0,,,3.0,3.0,2.0,5.0,,
a colleague was disrespectful about my miscarriage,disgust,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,5.0,5.0,1.0,1.0,,
a coworker scared me,surprise,envent,2.0,3.0,2.0,1.0,2.0,3.0,,,2.0,1.0,1.0,3.0,,
A customer at my workplace was being racist.,disgust,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,1.0,5.0,5.0,5.0,,
a customer at work was being very impolite to me.,anger,envent,1.0,5.0,5.0,3.0,1.0,5.0,,,1.0,3.0,4.0,3.0,,
"a customer at work was treating their spouse incredibly poorly. They were very rude and demanding, and talked down to them as if they were a child. I felt absolutely awful, and was ... with how this person behaved, especially in public.",disgust,envent,1.0,5.0,3.0,2.0,1.0,5.0,,,1.0,2.0,1.0,5.0,,
a customer in my workplace had asked for advice on the phone regarding a particular service that we offer but when they came to the store we were too busy to do it.,guilt,envent,1.0,4.0,4.0,2.0,4.0,4.0,,,4.0,4.0,2.0,5.0,,
a director at work sent a very mean passive aggressive email targeting one of my employees,disgust,envent,1.0,5.0,5.0,5.0,2.0,5.0,,,4.0,5.0,2.0,5.0,,
A doctor started to administer a general,trust,envent,3.0,2.0,1.0,3.0,1.0,1.0,,,5.0,1.0,1.0,5.0,,
A doctor told me my son needed an operation because I knew that would be the outcome,no-emotion,envent,3.0,1.0,5.0,1.0,1.0,1.0,,,3.0,5.0,4.0,5.0,,
A dog bit my son,anger,envent,1.0,5.0,5.0,5.0,3.0,5.0,,,2.0,5.0,1.0,5.0,,
A dog ran at me barking in a rural area,fear,envent,1.0,5.0,4.0,3.0,1.0,3.0,,,1.0,2.0,1.0,4.0,,
A dog ran out in front of my car.,fear,envent,1.0,5.0,5.0,3.0,1.0,5.0,,,1.0,5.0,5.0,5.0,,
A driver dangerously overtook another car,disgust,envent,1.0,5.0,4.0,3.0,1.0,5.0,,,1.0,5.0,2.0,5.0,,
a family member got sick,no-emotion,envent,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,1.0,,
A family member was released from hospital,relief,envent,5.0,1.0,5.0,5.0,1.0,1.0,,,5.0,5.0,1.0,5.0,,
a family member was seriously ill and died.,fear,envent,1.0,5.0,5.0,5.0,2.0,2.0,,,3.0,5.0,1.0,1.0,,
a family relative was diagnosed with MS but was later proven it was wrong diagnosis,relief,envent,1.0,5.0,4.0,3.0,1.0,1.0,,,3.0,4.0,1.0,5.0,,
"A felt a situation was morally wrong. I was managing an internal video production when a member of staff walked past and ask to support and be in the video. There was no talk of payment and the participation was voluntary. The next week I received an email saying the member of staff wanted extra pay for their involvement to which i said no. The member of staff went to their Union and as such we ended up paying them, which I believe was condoning their inappropriate behaviour",anger,envent,3.0,4.0,3.0,1.0,4.0,5.0,,,1.0,3.0,3.0,4.0,,
a few weeks ago i was just so drained and really didnt want to work so I called in sick... only to find out that my coworker did that day too so i left my boss stranded.. i felt so bad and i wasnt even sick,guilt,envent,1.0,4.0,2.0,3.0,4.0,4.0,,,3.0,1.0,2.0,3.0,,
A few weeks ago we had maggots in our wheelie bin. I had to kill them using boiling water and the smell was horrendous.,disgust,envent,1.0,4.0,4.0,3.0,2.0,2.0,,,1.0,4.0,5.0,1.0,,
"A few weeks ago, I was not working very frequently and found myself ... as hell at home. I was caught up on all my cleaning and home chores, and would read for a few hours, journal for a few hours, but would still feel so ... every day I was not working / socializing.",boredom,envent,1.0,4.0,1.0,3.0,1.0,1.0,,,1.0,3.0,1.0,1.0,,
"a few years ago I used the bathroom at my friend's house after his stepfather and he did the most ... #2 I've ever smelt, the scent stuck to my clothes afterwards and I had to go home to wash them",disgust,envent,1.0,5.0,5.0,4.0,2.0,4.0,,,1.0,5.0,2.0,2.0,,
A friend asked me to be a confident for her and mediate for her in her relationship,trust,envent,2.0,3.0,5.0,3.0,1.0,5.0,,,1.0,4.0,5.0,5.0,,
A friend betrayed me at work.,sadness,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,3.0,2.0,1.0,5.0,,
A friend decided to cut all ties with me for a reason I didnt understand. It felt out of the blue and Id just moved to the same city as them so I also felt vulnerable.,anger,envent,1.0,4.0,5.0,5.0,3.0,5.0,,,4.0,3.0,3.0,5.0,,
a friend decided to stop speaking with me based on a lie.,anger,envent,1.0,5.0,2.0,2.0,3.0,2.0,,,3.0,3.0,2.0,4.0,,
A friend described me as her angel because I had travelled by several buses to bring her to a group meeting over several weeks when she wasnt able to leave home alone.,pride,envent,3.0,3.0,2.0,1.0,3.0,3.0,,,1.0,2.0,2.0,5.0,,
A friend followed through with keeping an important secret,trust,envent,5.0,1.0,5.0,1.0,5.0,5.0,,,5.0,5.0,1.0,5.0,,
A friend gave me a present I was not expecting,surprise,envent,5.0,1.0,2.0,1.0,2.0,5.0,,,1.0,1.0,3.0,5.0,,
A friend had covid and attended running club with symptoms but failed to tell anyone until weeks later,disgust,envent,1.0,4.0,2.0,2.0,1.0,5.0,,,1.0,4.0,1.0,5.0,,
"A friend had spilled wine on my Mum's shite carpet. I panicked as I didn't think it would come out, but eventually it did.",relief,envent,1.0,5.0,5.0,5.0,2.0,5.0,,,4.0,5.0,5.0,5.0,,
A friend I usually hang out with told me she was moving 2 hours away.,no-emotion,envent,1.0,1.0,5.0,1.0,1.0,5.0,,,1.0,4.0,1.0,5.0,,
A friend kept a secret I told her,trust,envent,5.0,1.0,4.0,1.0,5.0,2.0,,,4.0,3.0,5.0,5.0,,
a friend made a reservation at a restaurant I have never been to and it turned out great,trust,envent,5.0,1.0,3.0,2.0,4.0,5.0,,,2.0,3.0,4.0,5.0,,
A friend managed to catch one of my emu and put it in the trailer,surprise,envent,5.0,1.0,5.0,5.0,4.0,5.0,,,5.0,4.0,2.0,5.0,,
"A friend mocked me, because I felt belittled",anger,envent,1.0,5.0,5.0,3.0,2.0,5.0,,,5.0,4.0,1.0,5.0,,
A friend of mine responded to an important email.,relief,envent,4.0,1.0,2.0,2.0,4.0,4.0,,,4.0,3.0,2.0,4.0,,
a friend of mine was let go from work unfairly.,disgust,envent,1.0,4.0,2.0,3.0,1.0,4.0,,,2.0,2.0,1.0,4.0,,
a friend opened up to me about the end of their relationship and we talked about it,trust,envent,3.0,3.0,5.0,2.0,1.0,4.0,,,2.0,4.0,4.0,4.0,,
A friend picked me up late at night when I needed them even though it was inconvenient for them,trust,envent,2.0,4.0,3.0,2.0,3.0,3.0,,,4.0,3.0,3.0,2.0,,
a friend rescued me from waiting on the freeway when my car broke down,relief,envent,1.0,5.0,5.0,4.0,3.0,5.0,,,4.0,5.0,3.0,4.0,,
"A friend sent me a package of Chinese tea in the mail for ""no reason""",surprise,envent,5.0,2.0,2.0,2.0,3.0,5.0,,,3.0,3.0,3.0,4.0,,
a friend shared her news with me,surprise,envent,4.0,1.0,5.0,4.0,1.0,5.0,,,3.0,5.0,2.0,3.0,,
a friend threw up in my car,disgust,envent,1.0,5.0,3.0,3.0,1.0,5.0,,,1.0,5.0,1.0,5.0,,
"A friend told me their friend as a kid used to take lizards and break their arms and legs and then stick the alive broken lizards in ant piles to be eaten alive. Also taking them and putting them on paper boats and letting them go on a lake but before that, lighting the paper boat on fire. Or putting them in a metal can with rocks and filling it with water and dropping the cans in a lake.",disgust,envent,1.0,5.0,3.0,2.0,1.0,5.0,,,1.0,1.0,1.0,4.0,,
A friend told my to place my trust in him that he would catch me if I fell,trust,envent,2.0,1.0,5.0,2.0,2.0,4.0,,,1.0,5.0,1.0,5.0,,
A friend took over my own opinion and discredited how I felt,anger,envent,1.0,5.0,5.0,5.0,1.0,4.0,,,4.0,2.0,3.0,5.0,,
A Friend turned their back on me for no reason,anger,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,3.0,5.0,,
A friend was unnecessarily rude to his partner.,anger,envent,1.0,5.0,3.0,2.0,1.0,5.0,,,2.0,2.0,2.0,5.0,,
A friend who had stopped talking completely for a while (health reasons) called me,relief,envent,5.0,1.0,5.0,5.0,1.0,5.0,,,4.0,5.0,4.0,5.0,,
A friend who I thought was a friend turned out to not be,anger,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
A gallery that I have work on display with shared my work on social media.,pride,envent,5.0,1.0,1.0,1.0,3.0,5.0,,,3.0,2.0,1.0,5.0,,
"a garbage truck came around a turn in the wrong lane, nearly hitting me.",fear,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,1.0,5.0,4.0,5.0,,
A girl told me what was bothering her,trust,envent,3.0,3.0,3.0,3.0,3.0,3.0,,,3.0,3.0,4.0,3.0,,
a granparent died,anger,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,2.0,4.0,1.0,2.0,,
A group of young men following me home.,fear,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
"a horse I compete on has gotten older and is now not able to be as athletic as has and he may need to retire. I can feel it when I ride him, that he feels stiffer and older and that feeling makes me very ....",sadness,envent,1.0,4.0,3.0,3.0,1.0,1.0,,,4.0,1.0,3.0,5.0,,
A housemate came at me with a knife.,fear,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,2.0,5.0,,
A housemate had friends over who took loads of drugs and smashed mirrors and messed up the house,anger,envent,1.0,4.0,3.0,5.0,1.0,5.0,,,3.0,4.0,2.0,2.0,,
A hummingbird suddenly appeared.,surprise,envent,5.0,1.0,5.0,1.0,1.0,1.0,,,2.0,1.0,1.0,5.0,,
a job opportunity has not emailed back,sadness,envent,1.0,5.0,4.0,3.0,4.0,4.0,,,4.0,3.0,1.0,5.0,,
A lady found my phone on a train and offered to mail it back to me.,trust,envent,5.0,1.0,3.0,1.0,3.0,4.0,,,3.0,1.0,4.0,4.0,,
A lady reversed into my car causing a few very very small scratches,no-emotion,envent,1.0,1.0,4.0,1.0,1.0,5.0,,,1.0,1.0,1.0,5.0,,
a lot of my friends showed up for my birthday,surprise,envent,4.0,2.0,4.0,5.0,4.0,2.0,,,3.0,4.0,3.0,3.0,,
a loved one took an unusual amount of time to respond to a message,fear,envent,1.0,5.0,5.0,5.0,1.0,3.0,,,3.0,4.0,2.0,5.0,,
a male in a crowed bar walked directly into me,anger,envent,2.0,4.0,2.0,4.0,3.0,4.0,,,1.0,2.0,2.0,4.0,,
a man called another a racial slur on the bus,disgust,envent,1.0,3.0,1.0,1.0,1.0,4.0,,,1.0,1.0,4.0,4.0,,
a man followed me at night,fear,envent,1.0,5.0,5.0,4.0,4.0,4.0,,,4.0,5.0,5.0,1.0,,
A man followed me in a car,fear,envent,1.0,5.0,5.0,4.0,1.0,5.0,,,3.0,5.0,1.0,5.0,,
A man got sick on the pavement right in front of me,disgust,envent,1.0,5.0,3.0,2.0,1.0,5.0,,,1.0,2.0,1.0,3.0,,
A man named George Floyd was rumoured to have been killed in America.,no-emotion,envent,1.0,2.0,5.0,5.0,1.0,5.0,,,5.0,1.0,1.0,5.0,,
"a man on the street asked me for money, and I didn't have any on me",sadness,envent,1.0,5.0,2.0,2.0,1.0,3.0,,,2.0,4.0,3.0,3.0,,
A man threw bricks through the shop window I worked at,fear,envent,1.0,5.0,5.0,3.0,1.0,5.0,,,3.0,4.0,2.0,5.0,,
a man was complaining and being rude in the restaurant,disgust,envent,1.0,5.0,4.0,4.0,1.0,5.0,,,2.0,5.0,4.0,5.0,,
A man was walking late at night with his dog off a leash. It ran into my garden and killed my sleeping cat. He walked away without saying or doing anything until he saw me chasing after him down the street with a large kitchen knife.,anger,envent,2.0,4.0,3.0,4.0,1.0,4.0,,,4.0,3.0,2.0,4.0,,
"A manager and colleague had a meeting, then called me in to confront me about my behaviour. I was ... and felt put on the spot and defensive. In hindsight it was handled incorrectly and I only I wish instead of reacting in ... and ... I had instead asked for 10 details of the meeting and some time to prepare beforehand.",anger,envent,1.0,5.0,5.0,5.0,2.0,4.0,,,4.0,4.0,2.0,5.0,,
A manager totally blocked an idea that was for charity,anger,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,3.0,5.0,,
A massive spider crawled over me when I was asleep in bed and woke up,fear,envent,1.0,4.0,5.0,3.0,1.0,3.0,,,2.0,4.0,3.0,2.0,,
A medical diagnosis was not as bad as I thought,relief,envent,3.0,4.0,5.0,5.0,3.0,1.0,,,4.0,3.0,2.0,4.0,,
A medical scan confirmed that I did not have a serious illness,relief,envent,5.0,5.0,5.0,4.0,2.0,1.0,,,5.0,1.0,1.0,1.0,,
a member of staff was upset at work due to other staff members behaviour. That staff member was made to feel like they weren't appreciated and that they were about to be told off for something that wasn't there fault.,anger,envent,1.0,5.0,4.0,4.0,1.0,5.0,,,4.0,3.0,4.0,2.0,,
a miscommunication was resolved and an important assignment was accepted.,relief,envent,4.0,2.0,2.0,2.0,2.0,4.0,,,5.0,1.0,1.0,5.0,,
"A moment where I felt ... would be when a close friend who became distant was in the hospital for a leg injury. I should have felt sad but it felt like I heard a stranger was in the hospital, especially since I found out a few days after he was injured. Instead of feeling any negative emotions, I felt ... but just kept thinking about it.",no-emotion,envent,3.0,3.0,2.0,2.0,1.0,4.0,,,2.0,2.0,1.0,2.0,,
a neighbor's dog ran out into the road chasing me and my dog,fear,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,3.0,3.0,,
a neighbour chucked rubbish into our garden,anger,envent,1.0,1.0,3.0,5.0,1.0,5.0,,,1.0,5.0,1.0,5.0,,
A next door neighbour has once again started running generators and power tools.,anger,envent,1.0,5.0,3.0,4.0,1.0,5.0,,,3.0,4.0,3.0,5.0,,
"A nurse in a hospital gave my mother too much insulin and then ran out of her supply the next day, telling my on the phone that we did not bring enough. They did not tell me about the overdose until later that day when I brought in extra.",anger,envent,1.0,5.0,5.0,3.0,1.0,5.0,,,4.0,5.0,1.0,5.0,,
"A partner I thought considered me a good person accused me of being cruel to their child, which I would never do and made me ... they thought I could.",anger,envent,1.0,5.0,4.0,4.0,2.0,4.0,,,4.0,5.0,4.0,4.0,,
a partner saw me naked,trust,envent,5.0,1.0,5.0,2.0,3.0,3.0,,,5.0,4.0,5.0,4.0,,
a party that I was really looking forward to got cancelled due to unforeseen circumstances. this party had been in the diary for months so it was a real shame when it didn't go ahead.,sadness,envent,1.0,4.0,2.0,2.0,1.0,4.0,,,3.0,2.0,2.0,4.0,,
A party was organised for me and I had no idea,surprise,envent,5.0,1.0,5.0,5.0,1.0,5.0,,,5.0,5.0,5.0,5.0,,
"A passerby handed me my wallet, apparently it had dropped from me unknowingly.",trust,envent,3.0,3.0,4.0,3.0,2.0,4.0,,,3.0,4.0,4.0,2.0,,
a pastor answered my question and gave me advice.,trust,envent,5.0,1.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,,
A patient I was looking after disclosed that he was a convicted paedophile,disgust,envent,1.0,5.0,4.0,4.0,1.0,5.0,,,1.0,1.0,3.0,1.0,,
A person close to me belittled my actions,anger,envent,1.0,5.0,4.0,4.0,1.0,5.0,,,5.0,4.0,2.0,4.0,,
"a person gaslighted me, denying an event that happened.",anger,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,2.0,5.0,,
"A person I assumed was a close friend, turned on me because I am not always running after her every demand, she likes attention too much, too high maintenance and on this one occasion I was too busy to go out with her she starts to get spiteful.",anger,envent,1.0,5.0,4.0,3.0,1.0,5.0,,,2.0,3.0,2.0,5.0,,
a person I met on a dating app ghosted me. I think I should have an emotion to it but I guess they didn't have an effect on me.,no-emotion,envent,3.0,3.0,1.0,1.0,1.0,4.0,,,1.0,1.0,3.0,3.0,,
A person I thought was a friend betrayed me very badly and I abruptly had to stop all contact with them.,sadness,envent,1.0,5.0,5.0,5.0,2.0,5.0,,,5.0,5.0,2.0,5.0,,
"a person in a position of power at work called a coworker ""sexy"" in an email and then was surprised when they took offence.",disgust,envent,1.0,3.0,1.0,4.0,1.0,4.0,,,2.0,4.0,1.0,5.0,,
a person let me down on a task they had promised to do. It ... me as they are usually very reliable,surprise,envent,1.0,5.0,4.0,3.0,1.0,5.0,,,5.0,4.0,2.0,5.0,,
A person spat in the swimming pool when I was lane swimming,disgust,envent,1.0,5.0,2.0,1.0,1.0,5.0,,,1.0,1.0,1.0,4.0,,
A pigeon pooed on my head,disgust,envent,1.0,4.0,2.0,1.0,1.0,3.0,,,1.0,4.0,3.0,5.0,,
A police chase whilst i was walking home at around 2am,fear,envent,2.0,4.0,2.0,1.0,1.0,5.0,,,2.0,1.0,1.0,5.0,,
a practical joke (I played) backfired,guilt,envent,1.0,4.0,4.0,2.0,5.0,2.0,,,3.0,4.0,1.0,1.0,,
A raccoon died in my airconditioner and I had to clean it out. The smell had pervaded the whole house. It was very difficult removing the corpse from a small cavity in the aircon. The corpse was partially rotted and parts of it were mummified. It also fell apart while I was taking it out.,disgust,envent,1.0,5.0,3.0,5.0,2.0,1.0,,,4.0,4.0,5.0,1.0,,
a recent dental surgery was over because I am terrified of dentists,relief,envent,1.0,5.0,4.0,4.0,4.0,1.0,,,4.0,3.0,3.0,4.0,,
A recently diagnosed health condition I have was not as bad as we first thought,joy,envent,4.0,2.0,5.0,4.0,1.0,1.0,,,5.0,5.0,1.0,5.0,,
a relative of mine had sent me some money. I checked my bank account and saw they had sent me money which I was not expecting,surprise,envent,4.0,1.0,3.0,2.0,1.0,5.0,,,2.0,3.0,2.0,5.0,,
A relatives genetic cancer test which could have affected me came back negative,relief,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,5.0,1.0,2.0,5.0,,
a semi-truck almost tipped over in front of my vehicle on a major highway,fear,envent,1.0,5.0,5.0,5.0,1.0,3.0,,,4.0,5.0,1.0,3.0,,
"A senior member of management was so drunkAnd disorderly he was dedicating in a hotel hallway, and was simply just so rude to colleagues",disgust,envent,1.0,5.0,1.0,2.0,1.0,5.0,,,1.0,1.0,2.0,1.0,,
A situation that I felt ... was going shopping to buy food.,no-emotion,envent,3.0,3.0,5.0,2.0,5.0,1.0,,,1.0,1.0,5.0,3.0,,
A stranger in the street started shouting at me for not allowing him to approach my dog,fear,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,3.0,5.0,4.0,5.0,,
a stranger swore in my face at the park and threatened me because I paused to take a photo of the lake,fear,envent,1.0,5.0,5.0,2.0,1.0,5.0,,,3.0,2.0,1.0,5.0,,
A student told me something important in confidence,trust,envent,4.0,1.0,4.0,2.0,1.0,3.0,,,2.0,2.0,1.0,3.0,,
